Date(Sub-Obj),Subject, Object, Talked First, Turn Dur, Turn Dur SD, F0 Min, F0 Min SD, F0 Max, F0 Max SD, F0 Mean, F0 Mean SD, F0 SD, F0 SD SD, Pitch Range, Pitch Range SD, RMS Min, RMS Min SD, RMS Max, RMS Max SD, RMS Mean, RMS Mean SD
213-238,213,238,0,-0.278,0.179,-1.104,-0.544,-1.083,-0.822,-1.097,-1.173,-0.696,-1.194,-0.95,-0.77,-1.02,0.446,-2.17,1.591,-2.035,1.349
213-235,213,235,0,-0.666,-0.668,-1.128,-0.675,-1.185,-0.803,-1.201,-1.6,-0.899,-0.675,-1.065,-0.763,-0.597,-0.3,-1.206,1.004,-1.411,0.632
213-234,213,234,0,-1.429,-1.417,-0.887,-0.411,-0.931,-0.493,-0.618,-0.584,-0.017,0.082,-0.836,-0.501,-0.621,-0.358,-1.407,0.703,-1.412,0.492
213-237,213,237,0,0.591,1.071,-0.481,1.731,-0.835,-0.758,-0.681,0.44,-0.568,0.453,-0.849,-0.264,-0.944,3.705,-1.225,2.31,-1.238,2.64
213-230,213,230,0,0.416,0.239,-1.175,-1.216,-0.761,-0.681,-0.733,-0.288,-0.015,-0.563,-0.542,-1.078,-0.662,-0.904,-0.902,0.981,-1.198,0.889
107-131,107,131,0,1.515,1.727,-1.072,-0.988,-0.705,-1.16,-0.719,-0.781,-0.27,-0.968,-0.508,-1.34,-0.348,1.896,1.292,-0.747,0.972,-0.019
313-323,313,323,0,0.131,0.029,-0.932,0.482,-0.961,-1.076,-0.444,-1.186,-0.945,-1.392,-0.859,-0.853,-1.266,-0.325,-1.733,1.156,-2.196,0.525
113-121,113,121,0,0.262,-0.386,-1.17,-0.825,-0.899,-1.385,-1.18,-0.971,-0.597,-1.024,-0.709,-1.289,-0.602,-1.08,0.828,-0.155,0.205,0.047
313-326,313,326,1,-0.04,0.297,-0.571,0.772,-0.958,-0.97,-0.565,-1.659,-1.552,-1.235,-0.969,-0.378,-0.777,-0.634,-0.344,0.12,-0.763,0.217
313-325,313,325,0,1.121,1.793,-0.845,1.191,-0.557,-1.59,-0.343,-1.531,-0.867,-1.445,-0.402,-0.91,-1.347,-0.62,-0.806,0.674,-1.462,0.506
102-122,102,122,0,0.864,1.401,-0.638,1.628,-1.051,-0.703,-0.835,0.992,-0.951,0.359,-1.059,-0.39,-1.323,-1.045,-0.417,0.635,-1.207,0.088
313-328,313,328,0,-0.606,-0.898,-1.042,-0.139,-1.059,-0.434,-0.766,-0.904,-1.059,-1.076,-0.941,-0.505,-1.317,1.304,-1.303,1.712,-1.722,1.384
313-329,313,329,0,-1.228,-1.22,-0.605,0.496,-0.74,-1.318,-0.178,-1.061,-0.367,-1.219,-0.696,-1.133,-0.733,-0.287,-1.692,1.444,-1.471,1.243
108-131,108,131,0,0.812,1.312,-1.111,-0.563,-0.838,-0.927,-0.9,-1.173,-1.178,-0.95,-0.655,-1.158,-0.419,-1.099,0.692,0.118,0.173,0.372
306-329,306,329,1,-0.811,-0.321,-1.268,-0.77,-1.241,-0.382,-1.389,-0.606,-0.694,-0.634,-1.089,-0.489,-1.133,-0.494,-1.316,1.624,-1.544,1.193
108-133,108,133,0,0.347,0.62,-1.208,0.129,-0.941,-1.295,-0.979,-1.462,-1.11,-1.32,-0.747,-1.059,-0.29,-0.92,0.212,-0.18,-0.291,-0.133
108-135,108,135,0,2.871,1.379,-1.224,-0.495,-0.856,-0.802,-0.795,-1.462,-1.105,-0.841,-0.641,-0.709,-0.762,-0.143,0.547,-0.371,-0.093,-0.031
108-134,108,134,0,0.495,-0.083,-1.035,0.028,-0.876,-1.045,-0.903,-1.11,-0.934,-1.268,-0.724,-1.095,-0.382,0.873,-0.061,0.805,-0.356,0.784
108-137,108,137,0,-1.264,-1.139,-0.063,0.365,-1.029,-0.677,-0.835,-0.461,-1.32,-0.737,-1.213,-0.942,-0.039,0.852,1.294,-0.899,1.476,-0.024
108-136,108,136,0,1.684,1.177,-1.404,-1.219,-0.686,-1.197,-1.006,-0.724,-0.688,-0.908,-0.38,-1.342,-0.582,-0.366,0.976,-0.252,0.355,-0.061
108-139,108,139,0,-0.512,-0.521,-0.33,1.937,-0.998,-0.331,-0.415,0.709,-0.93,0.484,-1.093,0.229,-0.725,-0.409,-0.596,2.406,-0.635,1.795
108-138,108,138,0,-0.62,-0.268,-0.138,-0.086,-1.149,-0.216,-1.298,-1.073,-1.722,-1.026,-1.333,-0.339,-0.561,1.32,1.274,-0.763,1.451,-0.23
113-125,113,125,0,-0.538,0.509,-0.708,0.008,-0.774,-1.026,-0.783,-0.147,0.082,-0.735,-0.705,-0.931,-0.38,0.995,-0.021,0.756,-0.119,1.6
306-325,306,325,0,0.838,0.346,-1.294,-1.006,-1.235,0.31,-1.707,-0.47,-0.917,0.582,-1.073,0.514,-1.648,2.419,-2.256,2.797,-2.615,2.549
306-326,306,326,0,-0.847,-0.829,-0.791,0.289,-0.914,-1.026,-1.122,-0.264,-0.372,-0.558,-0.847,-0.779,-1.081,-1.197,-2.627,2.088,-2.446,1.053
306-327,306,327,0,-0.981,-1.037,-1.371,-1.127,-1.036,-0.524,-1.664,-1.447,-0.82,-0.714,-0.81,-0.795,-0.911,-0.038,-1.546,1.247,-1.552,0.724
311-337,311,337,0,-0.136,-0.437,-0.895,0.549,-0.978,-0.731,-0.533,-0.21,-0.936,-0.4,-0.891,-0.394,-1.261,-0.65,-1.546,2.213,-1.817,1.435
311-336,311,336,0,-0.036,-0.214,-0.811,0.111,-1.039,-0.9,-0.744,-0.867,-1.072,-0.729,-0.991,-0.735,-1.477,-1.317,-0.813,2.617,-1.287,1.962
311-335,311,335,0,0.645,-0.025,-0.721,0.352,-0.824,-1.194,-0.805,-1.188,-1.353,-1.561,-0.76,-1.056,-1.519,0.264,0.532,0.692,-0.453,1.067
206-234,206,234,0,-1.569,-1.8,0.347,1.472,-0.652,-1.399,0.024,-0.92,-0.662,0.174,-0.891,-0.885,-0.123,-1.072,0.488,0.186,0.054,0.603
311-333,311,333,0,-0.35,-0.827,-0.509,-0.069,-0.92,-0.98,-0.8,-0.829,-1.064,-1.08,-0.942,-1.543,-1.217,-1.074,-0.0,0.269,-0.712,0.615
311-332,311,332,0,1.61,0.901,-1.447,-0.795,-0.638,-1.094,-0.951,-0.626,-0.812,-1.219,-0.309,-1.221,-1.273,-1.073,0.607,0.416,-0.602,0.279
206-230,206,230,0,-0.331,-0.507,-0.778,-0.167,-0.654,-1.505,-0.324,-0.38,-0.198,-1.021,-0.539,-1.487,-1.069,-1.172,-0.78,0.989,-1.292,0.768
215-237,215,237,0,1.548,1.474,-1.044,-0.088,-0.779,-1.487,-0.937,-0.219,-0.357,-1.88,-0.604,-1.656,-0.547,-0.383,-0.514,0.862,-0.826,0.371
206-239,206,239,0,-0.031,-0.743,-1.053,-0.599,-0.888,-1.298,-0.898,-1.679,-0.99,-1.697,-0.732,-1.306,-1.541,-0.781,-0.563,0.698,-1.426,0.829
206-238,206,238,0,-0.739,-0.999,-0.449,1.453,-1.052,-0.96,-0.578,0.563,-1.384,-1.281,-1.12,-0.686,-1.097,0.364,-1.399,1.745,-1.478,1.222
